"Payment recipients by postcode and payment type, March 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,0,0,0,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,0,0,0,0,0,0,0,0,0,<20,<20,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,0,0,0,0,0,0,0,0,0,<20,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,0,0,0,0,0,0,0,0,0,<20,<20,<20,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,0,0,<20,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,0,0,0,0,<20,0,0,0,0,<20,<20,<20,0,<20,0,<20,0,<20,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,0,0,0,0,0,0,0,0,0,<20,<20,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,0,0,0,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,0,0,0,0,0,0,0,0,0,<20,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,0,0,0,0,0,0,0,0,0,<20,<20,<20,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,0,0,<20,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,0,0,0,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,<20,0,0,<20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,0,0,<20,0,0,0,0,0,0,<20,<20,<20,0,<20,0,<20,0,<20,0,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,0,<20,<20,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,0,0,<20,0,0,0,0,0,<20,<20,<20,<20,<20,<20,0,<20,0,21,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,<20,0,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,0,0,<20,0,0,0,0,0,<20,0,0,0,0,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,0,0,0,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,0,0,0,0,<20,0,<20,0,0,<20,<20,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,0,0,0,0,0,0,0,0,<20,0,0,<20,0,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,0,0,0,0,<20,0,<20,0,<20,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,0,0,<20,0,0,0,0,0,0,<20,<20,<20,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,0,0,0,0,0,<20,0,0,0,<20,<20,<20,0,<20,0,<20,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,0,0,<20,0,0,0,0,0,0,0,0,<20,<20,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,0,0,<20,0,0,0,0,0,<20,0,<20,0,0,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,0,0,<20,0,0,0,0,0,0,<20,<20,<20,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,0,0,<20,0,<20,0,<20,0,0,0,0,<20,0,0,0,0,0,<20,<20,0,<20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,0,0,<20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,0,0,0,0,0,0,0,0,0,0,0,<20,0,<20,0,0,0,0,<20,0,0,0,0,0,0,<20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,0,0,0,0,0,0,0,0,0,<20,<20,0,0,<20,0,0,0,<20,<20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,<20,0,0,0,0,0,0,0,0,<20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
